year,candidate_mit,state,office,district,party,won
2022,Katie Britt,AL,S,00,REP,1
2022,Will Boyd,AL,S,00,DEM,0
2022,Lisa Murkowski,AK,S,00,REP,1
2022,Patricia Chesbro,AK,S,00,DEM,0
2022,Mark Kelly,AZ,S,00,DEM,1
2022,Blake Masters,AZ,S,00,REP,0
2022,John Boozman,AR,S,00,REP,1
2022,Natalie James,AR,S,00,DEM,0
2022,Alex Padilla,CA,S,00,DEM,1
2022,Mark Meuser,CA,S,00,REP,0
2022,Michael Bennet,CO,S,00,DEM,1
2022,Joe O'Dea,CO,S,00,REP,0
2022,Richard Blumenthal,CT,S,00,DEM,1
2022,Leora Levy,CT,S,00,REP,0
2022,Marco Rubio,FL,S,00,REP,1
2022,Val Demings,FL,S,00,DEM,0
2022,Raphael Warnock,GA,S,00,DEM,1
2022,Herschel Walker,GA,S,00,REP,0
2022,Brian Schatz,HI,S,00,DEM,1
2022,Bob McDermott,HI,S,00,REP,0
2022,Mike Crapo,ID,S,00,REP,1
2022,David Roth,ID,S,00,DEM,0
2022,Tammy Duckworth,IL,S,00,DEM,1
2022,Kathy Salvi,IL,S,00,REP,0
2022,Todd Young,IN,S,00,REP,1
2022,Thomas McDermott,IN,S,00,DEM,0
2022,Chuck Grassley,IA,S,00,REP,1
2022,Mike Franken,IA,S,00,DEM,0
2022,Jerry Moran,KS,S,00,REP,1
2022,Mark Holland,KS,S,00,DEM,0
2022,Rand Paul,KY,S,00,REP,1
2022,Charles Booker,KY,S,00,DEM,0
2022,John Kennedy,LA,S,00,REP,1
2022,Gary Chambers Jr.,LA,S,00,DEM,0
2022,Chris Van Hollen,MD,S,00,DEM,1
2022,Chris Chaffee,MD,S,00,REP,0
2022,Eric Schmitt,MO,S,00,REP,1
2022,Trudy Busch Valentine,MO,S,00,DEM,0
2022,Catherine Cortez Masto,NV,S,00,DEM,1
2022,Adam Laxalt,NV,S,00,REP,0
2022,Maggie Hassan,NH,S,00,DEM,1
2022,Don Bolduc,NH,S,00,REP,0
2022,Chuck Schumer,NY,S,00,DEM,1
2022,Joe Pinion,NY,S,00,REP,0
2022,Ted Budd,NC,S,00,REP,1
2022,Cheri Beasley,NC,S,00,DEM,0
2022,John Hoeven,ND,S,00,REP,1
2022,Katrina Christiansen,ND,S,00,DEM,0
2022,J.D. Vance,OH,S,00,REP,1
2022,Tim Ryan,OH,S,00,DEM,0
2022,James Lankford,OK,S,00,REP,1
2022,Madison Horn,OK,S,00,DEM,0
2022,Markwayne Mullin,OK,S,01,REP,1
2022,Kendra Horn,OK,S,01,DEM,0
2022,Ron Wyden,OR,S,00,DEM,1
2022,Jo Rae Perkins,OR,S,00,REP,0
2022,John Fetterman,PA,S,00,DEM,1
2022,Mehmet Oz,PA,S,00,REP,0
2022,Tim Scott,SC,S,00,REP,1
2022,Krystle Matthews,SC,S,00,DEM,0
2022,John Thune,SD,S,00,REP,1
2022,Brian Bengs,SD,S,00,DEM,0
2022,Peter Welch,VT,S,00,DEM,1
2022,Gerald Malloy,VT,S,00,REP,0
2022,Patty Murray,WA,S,00,DEM,1
2022,Tiffany Smiley,WA,S,00,REP,0
2022,Ron Johnson,WI,S,00,REP,1
2022,Mandela Barnes,WI,S,00,DEM,0
